step,total_loss,seconds,teacher,iv,pde,convexity,weight_teacher,weight_iv,weight_pde,weight_convexity,terminal_loss,boundary_penalty_active
1,2.2019581702216064,0.7219873330031987,1.8200117434373683e-10,5.25083065221908e-06,0.0004342474925333313,7.877416317919288e-07,1.0,1.0,1.0,1.0,0.0,False
101,9.582298010683473,4.979337208002107,2.0265347103866714e-10,2.8249718294012892e-05,0.002013234759583582,0.0,1.0,1.0,1.0,1.0,0.0,False
201,1.4246258610376064,9.38587616699806,1.7471089043031594e-10,1.5155572220869297e-06,0.0006089592831620526,4.627803160690024e-07,1.0,1.0,1.0,1.0,0.0,False
301,1.5331269474655635,13.705382166997879,1.7505189162998336e-10,2.0973473865033772e-06,0.0005711603534454622,1.8319298979126028e-07,1.0,1.0,1.0,1.0,0.0,False
401,1.440724784414663,18.04498925000371,1.8589031046439248e-10,2.8789132076579106e-06,0.0002562707063392043,0.0,1.0,1.0,1.0,1.0,0.0,False
501,5.621458098532958,22.42471445800038,1.85913370886527e-10,3.087343920251152e-06,0.004384838689774816,1.479037581927918e-08,1.0,1.0,1.0,1.0,0.0,False
601,2.713338282603425,26.78588774999662,1.7904898528451947e-10,7.300608987345514e-07,0.0020832002303965715,3.6431191708593177e-06,1.0,1.0,1.0,1.0,0.0,False
701,3.0180796317545644,31.091028208000353,1.7590562623377588e-10,6.165833793385108e-06,0.0010368567326398677,3.8518397997864194e-06,1.0,1.0,1.0,1.0,0.0,False
801,5.832696359095968,35.298839625000255,1.684906344644743e-10,1.769600816467119e-05,0.000987467731766985,0.0,1.0,1.0,1.0,1.0,0.0,False
901,1.765978600250218,39.48864749999484,1.3796159577873697e-10,3.880526988931626e-06,0.00045094286357046917,0.0,1.0,1.0,1.0,1.0,0.0,False
1001,2.0882552700585455,43.78443120799784,1.5117606102968656e-10,2.8337573579666802e-06,0.0010018757779926592,0.0,1.0,1.0,1.0,1.0,0.0,False
1101,5.9785364227667515,48.06901795799786,2.0659985365855023e-10,1.85660842439249e-05,0.0008205157276391502,0.0,1.0,1.0,1.0,1.0,0.0,False
1201,1.7090657640141518,52.241890624994994,2.173099977364397e-10,9.660377309494452e-07,0.0009242811985246235,1.3841106786138981e-06,1.0,1.0,1.0,1.0,0.0,False
1301,1.3462084590411423,56.42803358299716,2.039783244322583e-10,9.61024260023148e-07,0.0005960065829547095,0.0,1.0,1.0,1.0,1.0,0.0,False
1401,1.191617346875862,60.71325487499416,1.7131840386624895e-10,1.8271103939710082e-06,0.00030654373871748773,0.0,1.0,1.0,1.0,1.0,0.0,False
1501,1.0202194144655756,64.91138545800641,1.4285538046654972e-10,7.786991245866704e-07,0.0004684061821525338,0.0,1.0,1.0,1.0,1.0,0.0,False
1601,7.509197992561102,69.11429933299951,1.6677147050834353e-10,2.5156445813509198e-05,0.0008031578616423033,1.2706401645919483e-08,1.0,1.0,1.0,1.0,0.0,False
1701,1.138000238330921,73.3235624999943,1.5725317558448047e-10,1.5837470085129695e-06,0.00034893054724147735,0.0,1.0,1.0,1.0,1.0,0.0,False
1801,2.035421416569131,77.62105629200232,2.0482694496618906e-10,1.609950497956144e-06,0.0011208664296646226,0.0,1.0,1.0,1.0,1.0,0.0,False
1901,1.2598140805780351,81.84561479199328,1.5100556166078418e-10,1.2323892780057583e-06,0.0005742028569246352,0.0,1.0,1.0,1.0,1.0,0.0,False
2000,1.7326445273387105,86.1526146249962,1.521333742517013e-10,1.035770871369815e-06,0.001093368373569823,2.9718063341094824e-09,1.0,1.0,1.0,1.0,0.0,False
